,Gene
43518,RP11-242D8.1
43521,NBR1
43556,LSM12
43561,C17orf53
43601,EFTUD2
43634,RP11-798G7.8
43636,RP11-798G7.6
43692,NPEPPS
43694,KPNB1
43696,TBX21
43697,OSBPL7
43698,MRPL10
43701,SP6
43717,CBX1
43732,HOXB4
43759,SNF8
43771,GNGT2
43772,ABI3
43809,PDK2
43813,PPP1R9B
43856,TOB1-AS1
43857,RP11-700H6.4
43905,PCTP
43916,RP11-670E13.3
43917,TRIM25
43934,RN7SL449P
43943,VEZF1
43945,RP11-159D12.2
43946,SRSF1
43949,DYNLL2
43979,PPM1E
44010,TUBD1
44011,NDUFB8P2
44030,CA4
44031,FAM106DP
44038,APPBP2
44046,BCAS3
44086,CTD-3035K23.3
44092,RP11-180P8.1
44112,ACE
44127,PSMC5
44167,LRRC37A3
44170,RP11-927P21.1
44171,RP11-927P21.2
44203,RP11-349A8.3
44212,PITPNC1
44244,RP11-120M18.2
44247,PRKAR1A
44263,MAP2K6
44266,RP1-193H18.2
44273,KCNJ2-AS1
44274,KCNJ2
44318,RPL38
44320,TTYH2
44330,CD300LB
44331,CD300C
44333,CD300LD
44338,CTD-2006K23.2
44342,NAT9
44343,TMEM104
44362,NT5C
44371,MIF4GD
44373,SLC25A19
44384,TSEN54
44385,LLGL2
44398,RP11-552F3.4
44410,EVPL
44412,GALR2
44432,CYGB
44433,PRCD
44434,RP11-666A8.7
44435,RP11-666A8.8
44436,RP11-666A8.12
44439,RP11-666A8.13
44441,ST6GALNAC2
44466,SEPT9
44484,TMC6
44488,SYNGR2
44497,LINC01993
44498,AC061992.2
44499,SOCS3
44500,RP11-806H10.4
44501,RN7SL236P
44502,PGS1
44503,DNAH17
44511,USP36
44513,TIMP2
44514,CEP295NL
44546,CARD14
44547,RP11-334C17.5
44563,RPTOR
44577,MIR657
44607,FAAP100
44610,PDE6G
44621,MCRIP1
44625,ARHGDIA
44627,ALYREF
44629,PCYT2
44639,ASPSCR1
44643,DCXR
44646,RFNG
44647,GPS1
44648,DUS1L
44649,FASN
44666,OGFOD3
44676,FOXK2
44705,FAM166AP6
44730,RP11-769O8.3
44743,LINC00470
44758,CBX3P2
44762,LPIN2
44787,DLGAP1-AS2
44863,NDUFV2-AS1
44864,ANKRD12
44867,TWSG1
44869,RALBP1
44871,PPP4R1
44873,PPP4R1-AS1
44875,KRT18P8
44876,RAB31
44884,VAPA
44924,MPPE1
44951,TUBB6
44959,PSMG2
45009,CYP4F35P
45044,ROCK1
45055,ABHD3
45092,C18orf8
45105,CABYR
45106,RP11-799B12.4
45107,OSBPL1A
45178,DSC2
45196,TRAPPC8
45221,KLHL14
45240,ZNF397
45241,ZSCAN30
45243,RP11-158H5.8
45244,RP11-158H5.7
45247,ZNF24
45248,ZNF396
45253,RP11-322E11.3
45264,RPRD1A
45265,SLC39A6
45299,KC6
45304,RP11-115N12.1
45331,PSTPIP2
45332,RN7SKP26
45333,RP11-8H2.1
45338,C18orf25
45345,RP11-687F6.5
45346,PIAS2
45357,RP11-49K24.8
45381,CTIF
45388,SMAD7
45421,CXXC1
45434,SMAD4
45457,POLI
45485,RP11-456O19.5
45593,PHLPP1
45600,VPS4B
45611,SERPINB2
45636,DSEL
45691,NETO1
45692,RP11-713C5.1
45695,RP11-676J15.1
45703,TIMM21
45711,CNDP2
45714,RP11-231E4.3
45715,LINC00909
45744,LINC00683
45745,LINC01927
45786,NFATC1
45828,LINC01002
45843,GZMM
45846,HCN2
45848,POLRMT
45851,RNF126
45860,PTBP1
45866,CFD
45874,WDR18
45877,TMEM259
45883,POLR2E
45884,GPX4
45886,STK11
45888,CBARP
45890,ATP5D
45894,C19orf24
45900,NDUFS7
45904,DAZAP1
45905,RPS15
45924,REXO1
45931,ABHD17A
45936,BTBD2
45943,IZUMO4
45944,AP3D1
45945,DOT1L
45949,SF3A2
45957,SPPL2B
45958,TMPRSS9
45960,LMNB2
45984,ZNF57
45985,AC006277.2
45987,AC006277.3
45990,AES
45994,GNA15
46006,MFSD12
46011,HMG20B
46013,TBXA2R
46016,PIP5K1C
46019,APBA3
46023,RAX2
46033,EEF2
46035,ZBTB7A
46037,MAP2K2
46043,CCDC94
46044,SHD
46049,MPND
46053,SH3GL1
46064,PLIN4
46065,PLIN5
46066,LRG1
46070,MYDGF
46071,DPP9
46077,TICAM1
46099,DUS3L
46105,NDUFA11
46111,CTC-232P5.1
46112,RFX2
46113,CTC-232P5.3
46123,CLPP
46124,ALKBH7
46126,GTF2F1
46131,KHSRP
46136,DENND1C
46138,TUBB4A
46171,C19orf45
46173,MCOLN1
46177,XAB2
46184,MCEMP1
46199,MAP2K7
46202,SNAPC2
46206,ELAVL1
46214,NDUFA7
46215,RPS28
46221,RAB11B
46225,HNRNPM
46227,ZNF414
46241,CTD-2529P6.3
46265,ZNF559
46280,RPS4XP22
46293,PIN1
46300,C19orf66
46301,CTD-2240E14.4
46307,EIF3G
46309,S1PR2
46323,CDC37
46324,PDE4A
46327,S1PR5
46348,YIPF2
46349,TIMM29
46350,SMARCA4
46358,CTC-510F12.2
46364,RAB3D
46373,PRKCSH
46377,ECSIT
46382,ELOF1
46392,ZNF441
46397,ZNF439
46398,AC020951.1
46400,ZNF700
46401,CTD-2006C1.12
46402,ZNF763
46408,ZNF844
46410,ZNF788
46411,ZNF20
46418,ZNF44
46422,ZNF442
46424,CTD-3105H18.4
46425,ZNF799
46426,ZNF443
46428,ZNF709
46434,ZNF564
46440,RPL10P16
46441,MAN2B1
46442,WDR83
46443,WDR83OS
46444,DHPS
46448,TNPO2
46451,ASNA1
46466,GCDH
46470,FARSA
46472,CALR
46474,RAD23A
46475,GADD45GIP1
46482,TRMT1
46490,CCDC130
46493,C19orf53
46505,CC2D1A
46514,EEF1DP1
46517,SAMD1
46524,CTD-2189E23.1
46529,DDX39A
46530,PKN1
46532,PTGER1
46533,GIPC1
46536,TECR
46544,ZNF333
46577,AKAP8L
46580,WIZ
46581,RASAL3
46592,CYP4F12
46602,LINC01835
46606,LLNLF-158E9.1
46630,CTD-2013N17.7
46640,SLC35E1
46651,TMEM38A
46669,USE1
46673,BABAM1
46705,INSL3
46706,JAK3
46707,RPL18A
46708,AC005796.2
46710,CCDC124
46718,IL12RB1
46720,PIK3R2
46726,KIAA1683
46727,JUND
46736,SSBP4
46744,KXD1
46746,UBA52
46748,C19orf60
46758,DDX49
46763,ARMC6
46781,NDUFA13
46789,ATP13A1
46790,ZNF101
46793,ZNF14
46801,BNIP3P9
46802,ZNF253
46805,ZNF93
46809,ZNF682
46813,ZNF90
46814,AC006539.2
46818,CTC-260E6.6
46819,ZNF486
46820,BNIP3P16
46838,ZNF737
46841,ZNF626
46846,ZNF66
46849,ZNF85
46853,ZNF430
46859,ZNF431
46871,ZNF493
46872,CTD-2561J22.5
46874,ZNF429
46875,BNIP3P26
46888,ZNF43
46928,ZNF492
46938,ZNF723P
46960,ZNF91
46972,ZNF681
46973,RP11-255H23.2
46974,BNIP3P39
46983,ZNF254
46984,CTD-2017D11.1
46985,CTD-2017D11.2
46986,BNIP3P40
46987,CTD-2027I19.3
46988,CTD-2027I19.2
46995,CTC-459F4.6
47020,LINC00906
47034,PLEKHF1
47071,AC007773.2
47072,DPY19L3
47082,TDRD12
47089,FAAP24
47106,PEPD
47110,KCTD15
47135,ZNF302
47137,ZNF181
47143,CTC-523E23.5
47157,SCN1B
47158,HPN
47166,FXYD5
47172,USF2
47176,U62631.5
47182,LINC01531
47183,RN7SL491P
47184,AC002511.2
47185,AC002511.3
47186,FFAR2
47192,TMEM147
47199,RBM42
47200,ETV2
47208,U2AF1L4
47223,NFKBID
47224,AD000864.6
47225,HCST
47240,POLR2I
47242,AD001527.4
47243,CAPNS1
47254,ZFP82
47263,ZNF382
47274,ZNF829
47281,ZNF585A
47283,ZNF585B
47288,CTD-3220F14.3
47300,ZNF540
47302,ZNF781
47304,ZNF607
47317,DPF1
47325,PSMD8
47335,EIF3K
47339,CTD-2540F13.2
47344,ECH1
47346,HNRNPL
47350,SIRT2
47351,NFKBIB
47353,SARS2
47360,PAK4
47381,PLEKHG2
47382,RPS16
47383,SUPT5H
47384,TIMM50
47406,CLC
47414,PSMC4
47415,ZNF546
47421,MAP3K10
47422,TTC9B
47424,AKT2
47428,C19orf47
47434,SERTAD1
47439,SPTBN4
47447,SNRPA
47453,CYP2F2P
47474,HNRNPUL1
47476,TGFB1
47485,ATP5SL
47507,LYPD4
47509,RPS19
47523,ZNF526
47528,PAFAH1B3
47532,MIR8077
47566,CTC-490G23.2
47567,CD177
47568,CTC-490G23.4
47573,ETHE1
47579,IRGQ
47581,ZNF428
47588,SMG9
47600,RP11-15A1.8
47603,ZNF230
47605,ZNF222
47606,ZNF223
47613,ZNF226
47622,ZNF229
47624,ZNF180
47633,AC092066.1
47634,CEACAM19
47654,ZNF296
47657,PPP1R37
47680,EML2
47689,BHMG1
47693,DMWD
47695,SYMPK
47699,MYPOP
47739,DACT3
47751,AP2S1
47768,NAPA-AS1
47769,NAPA
47779,GLTSCR2
47781,SELENOW
47798,CARD8
47800,CTC-453G23.8
47801,CARD8-AS1
47805,EMP3
47808,KDELR1
47819,RPL18
47828,RASIP1
47842,BAX
47844,FTL
47846,RUVBL2
47886,PIH1D1
47889,RPL13A
47892,RPS11
47903,IRF3
47905,PRMT1
47909,CTB-33G10.1
47912,AP2A1
47918,PTOV1-AS1
47923,PNKP
47925,TBC1D17
47926,IL4I1
47927,NUP62
47932,ZNF473
47948,EMC10
47955,SHANK1
47971,KLK4
47991,CTD-3187F8.15
48013,CLDND2
48014,NKG7
48024,SIGLEC8
48034,ZNF175
48047,FPR2
48049,ZNF577
48055,ZNF613
48057,ZNF350
48065,ZNF616
48070,PPP2R1A
48086,ZNF578
48090,ZNF701
48092,ZNF137P
48098,ZNF28
48107,ZNF816
48115,ZNF347
48117,CTD-2245F17.3
48128,ZNF845
48129,ZNF525
48179,RNU6-980P
48198,SEPT7P8
48209,CACNG8
48210,CACNG6
48215,NDUFA3
48217,PRPF31
48220,LENG1
48223,TSEN34
48227,LILRB3
48240,AC008984.7
48275,KIR2DL3
48281,KIR2DS4
48282,KIR3DL2
48287,NLRP7
48289,NLRP2
48290,CTC-550B14.1
48295,PPP1R12C
48302,SYT5
48304,CTD-2587H24.10
48306,PPP6R1
48310,HSPBP1
48311,BRSK1
48315,COX6B2
48320,TMEM238
48321,RPL28
48322,UBE2S
48328,ZNF628
48339,ZNF580
48340,ZNF581
48342,U2AF2
48353,NLRP4
48384,ZNF667
48392,AC007228.11
48393,ZNF470
48394,SIGLEC31P
48398,ZNF835
48425,ZNF543
48428,ZNF547
48438,ZNF419
48440,ZNF549
48453,ZNF776
48462,ZNF417
48467,ZNF606
48492,A1BG-AS1
48493,CTD-2619J13.5
48499,RPS5
48506,CTD-2619J13.17
48518,TRIM28
48521,UBE2M
48523,MZF1
48537,NRSN2
48538,TRIB3
48541,CSNK2A1
48546,FAM110A
48550,PSMF1
48559,SDCBP2-AS1
48560,RP11-314N13.3
48562,NSFL1C
48563,SIRPB2
48569,SIRPG-AS1
48575,RP4-673D20.3
48576,RP5-968J1.1
48578,SIRPA
48582,STK35
48586,SNRPB
48590,IDH3B
48609,DDRGK1
48610,ITPA
48634,RNF24
48657,TMEM230
48705,TMX4
48727,MKKS
48728,SLX4IP
48858,CRNKL1
48867,RALGAPA2
48896,RPL41P1
48912,RP4-753D10.5
48925,NXT1
48942,CST3
48981,ABHD12
49009,FRG1CP
49016,RARRES2P11
49019,FRG1EP
49024,LINC01597
49025,FRG1BP
49045,HM13
49089,COMMD7
49120,PXMP4
49125,CHMP4B
49157,GGT7
49159,GSS
49168,MMP24-AS1
49179,CEP250
49183,ERGIC3
49215,TGIF2
49220,DSN1
49234,SRC
49244,CTNNBL1
49293,MAFB
49334,IFT52
49344,OSER1-AS1
49355,TTPAL
49356,SERINC3
49358,ADA
49375,PI3
49388,DBNDD2
49389,PIGT
49428,ZNF335
49469,SULF2
49470,CTD-2653D5.1
49494,DDX27
49502,B4GALT5
49514,UBE2V1
49515,TMEM189
49519,CEBPB-AS1
49522,LINC01270
49523,LINC01271
49534,PARD6B
49547,ATP9A
49571,ZNF217
49575,SUMO1P1
49598,RP5-1153D9.5
49599,FAM209A
49600,FAM209B
49628,PMEPA1
49637,PPP4R1L
49639,VAPB
49656,NELFCD
49671,SYCP2
49672,FAM217B
49673,PPP1R3D
49676,RP5-1017F8.2
49686,CDH4
49720,WI2-87327B8.2
49729,NTSR1
49730,RP11-93B14.4
49731,LINC00659
49757,ARFGAP1
49768,PPDPF
49777,RTEL1
49778,TNFRSF6B
49779,ARFRP1
49782,LIME1
49796,UCKL1
49800,SAMD10
49801,PRPF6
49868,CH507-396I9.7
49870,KCNE1B
49955,CYP4F29P
49962,FRG2MP
49970,SAMSN1
50021,C21orf91
50131,LINC00113
50152,BACH1
50232,SNORA80A
50245,C21orf62-AS1
50247,C21orf62
50258,IFNAR2
50260,IL10RB
50261,IFNAR1
50290,KCNE1
50292,CLIC6
50359,KCNJ15
50364,ETS2
50366,AF064858.6
50369,LINC01700
50370,AF064858.8
50371,AF064858.11
50372,AF064858.10
50373,RPL23AP12
50374,PCBP2P1
50404,BACE2
50447,WDR4
50452,PKNOX1
50478,AGPAT3
50486,AP001056.1
50495,PFKL
50496,C21orf2
50503,LRRC3
50506,MTND5P1
50508,AP001065.15
50510,TSPEAR
50511,TSPEAR-AS1
50512,TSPEAR-AS2
50534,SUMO3
50546,SSR4P1
50550,POFUT2
50558,LL21NC02-21A1.1
50569,PCBP3-OT1
50582,LSS
50669,CECR7
50672,IL17RA
50673,AC006946.12
50674,CECR6
50675,LINC01664
50684,CECR2
50702,PEX26
50741,DGCR9
50754,SLC25A1
50761,C22orf39
50776,TXNRD2
50778,COMT
50785,TRMT2A
50788,ZDHHC8
50795,DGCR6L
50809,MED15
50818,TMEM191A
50819,PI4KA
50825,LZTR1
50857,HIC2
50859,PI4KAP2
50863,YDJC
50873,MAPK1
51013,RAB36
51016,RN7SL263P
51026,AP000345.4
51037,RGL4
51041,CHCHD10
51043,SMARCB1
51068,GGT5
51077,AP000355.2
51080,LRRC75B
51110,LRP5L
51130,SEZ6L
51141,HMGB1P10
51142,CRYBB1
51146,CTA-373H7.7
51169,MN1
51181,CTA-292E10.8
51187,KREMEN1
51198,AP1B1
51201,RFPL4AP6
51216,MTMR3
51217,RNU6-331P
51230,GATSL3
51231,TBC1D10A
51233,CCDC157
51234,RNF215
51260,TUG1
51271,LIMK2
51272,RNU6-1128P
51289,PRR14L
51290,DEPDC5
51360,HMOX1
51378,APOL3
51392,RP5-1119A7.14
51393,TXN2
51395,EIF3D
51404,NCF4-AS1
51406,CSF2RB
51407,CSF2RBP1
51411,MPST
51412,KCTD17
51418,C1QTNF6
51425,MFNG
51430,GGA1
51431,SH3BP1
51432,Z83844.1
51439,GCAT
51443,EIF3L
51445,MICALL1
51469,DDX17
51473,CBY1
51476,TOMM22
51477,JOSD1
51480,SUN2
51491,APOBEC3A
51494,APOBEC3C
51498,APOBEC3G
51510,SYNGR1
51530,SGSM3
51551,EP300
51567,ACO2
51571,DESI1
51572,XRCC6
51573,SNU13
51580,RP5-821D11.7
51581,SREBF2
51594,SMDT1
51613,RRP7A
51615,RRP7BP
51625,ARFGAP3
51629,TTLL1
51635,SCUBE1
51649,SAMM50
51653,RP4-671O14.6
51657,KIAA1644
51663,LDOC1L
51668,PRR5
51675,NUP50
51681,UPK3A
51701,PRR34-AS1
51710,TTC38
51725,LINC01644
51771,PANX2
51775,SELENOO
51778,TUBGCP6
51779,HDAC10
51781,MAPK11
51782,PLXNB2
51783,DENND6B
51787,SBF1
51788,ADM2
51790,LMF2
51791,NCAPH2
51816,PLCXD1
51817,GTPBP6
51825,RP11-309M23.1
51827,CRLF2
51831,IL3RA
51832,SLC25A6
51834,ASMTL-AS1
51835,ASMTL
51836,P2RY8
51837,AKAP17A
51838,ASMT
51839,RP13-297E16.4
51845,CD99P1
51847,CD99
51848,XG
51851,ARSD
51853,ARSH
51854,ARSF
51855,RN7SL578P
51861,PRKX
51864,RP11-706O15.1
51865,RP11-706O15.3
51866,RP11-706O15.5
51867,RP11-706O15.7
51877,VCX3A
51880,PUDP
51883,STS
51885,VCX
51887,PNPLA4
51891,VCX3B
51892,ANOS1
51898,FAM9B
51932,GS1-590J6.3
51934,MSL3
51944,TLR8-AS1
51945,TLR8
51948,RP11-791M20.1
51953,LINC01203
51960,TCEANC
51962,TRAPPC2
51963,OFD1
51972,MOSPD2
51980,BMX
51981,ACE2
51985,CA5BP1
51987,CA5B
51988,ZRSR2
52003,TXLNG
52023,BEND2
52026,CDKL5
52034,PHKA2
52036,ADGRG2
52038,MAP3K15
52041,CXorf23
52042,MAP7D2
52044,EIF1AX
52046,EIF1AX-AS1
52047,RPS6KA3
52085,EIF2S3
52087,ZFX
52088,SUPT20HL2
52108,MAGEB18
52156,CXorf21
52158,FTLP2
52159,GK
52162,GK-AS1
52164,TAB3
52215,RNU6-49P
52224,RPGR
52228,FTLP16
52253,MPC1L
52254,CXorf38
52255,MED14
52257,DPRXP6
52265,USP9X
52269,DDX3X
52271,NYX
52290,PPP1R2P9
52295,MAOA
52300,EFHC2
52302,RRM2P3
52305,FUNDC1
52311,KDM6A
52312,CXorf36
52313,RP11-342D14.1
52315,LINC01204
52316,KRT8P14
52336,ZNF674-AS1
52343,RP2
52349,NDUFB11
52352,UBA1
52353,INE1
52356,RP11-571E6.1
52357,RN7SL785P
52359,ZNF157
52364,LINC01560
52366,ARAF
52367,SYN1
52371,ELK1
52372,UXT
52378,ZNF81
52380,ZNF182
52382,ZNF630
52416,FTSJ1
52418,PORCN
52419,EBP
52420,TBC1D25
52440,PQBP1
52453,GPKOW
52464,CCDC22
52465,FOXP3
52501,DGKK
52502,SHROOM4
52582,RP11-258C19.4
52583,KDM5C
52587,IQSEC2
52591,SMC1A
52593,RIBC1
52594,HSD17B10
52596,RP3-339A18.3
52612,TSR2
52617,MAGED2
52621,APEX2
52627,RP11-266I3.8
52650,UBQLN2
52652,NBDY
52697,MORF4L1P5
52710,RP6-159A1.3
52711,RP6-159A1.4
52712,VSIG4
52713,RP11-30M20.1
52714,EIF4BP9
52715,HEPH
52763,PDZD11
52785,NLGN3
52789,NONO
52792,AL590762.7
52799,GCNA
52820,ERCC6L
52821,RPS4X
52853,TSIX
52854,XIST
52856,JPX
52857,FTX
52860,RPSAP14
52862,RP13-33H18.1
52871,RP3-368A4.6
52955,VDAC1P1
52989,CHM
53016,RP13-348B13.2
53056,RP11-471G13.5
53094,LL0XNC01-131B10.2
53095,XKRX
53112,HNRNPH2
53118,ARMCX6
53127,RP1-232L22__B.1
53139,TCP11X1
53195,MORF4L2-AS1
53233,TBC1D8B
53239,NUP62CL
53248,TSC22D3
53249,NCBP2L
53272,ACSL4
53273,RP1-136J15.1
53282,RGAG1
53301,TRPC5OS
53371,DOCK11
53373,IL13RA1
53374,RP13-128O4.3
53390,SLC25A43
53396,SLC25A5
53401,MIR766
53406,RNF113A
53411,RHOXF1P2
53412,RHOXF1P1
53425,LAMP2
53427,CUL4B
53429,C1GALT1C1
53480,XIAP
53485,STAG2
53491,TEX13D
53492,TENM1
53495,TEX13C
53528,XPNPEP2
53622,FAM127A
53634,ZNF75D
53663,SAGE1
53687,RBMX
53704,FGF13
53711,MCF2
53733,LDOC1
53818,FTH1P8
53848,CXorf40B
53855,MTM1
53856,MTMR1
53907,PNMA5
53911,PNMA6A
53945,IDH3G
53946,SSR4
53949,L1CAM
53958,IRAK1
53971,FLNA
53972,EMD
53974,RPL10
53980,FAM50A
53983,LAGE3
53985,SLC10A3
53987,FAM3A
54009,F8
54015,FUNDC2
54017,BRCC3
54032,TMLHE-AS1
54035,SPRY3
54041,IL9R
54043,WASH6P
54046,SRY
54047,RNASEH2CP1
54049,RPS4Y1
54050,HSFY3P
54051,NAP1L1P2
54052,RP11-414C23.1
54053,ZFY
54054,ZFY-AS1
54056,LINC00278
54064,AC010084.1
54100,TBL1Y
54101,RP11-115H13.1
54103,PRKY
54104,RN7SKP282
54111,TTTY16
54112,RFTN1P1
54119,ZNF736P7Y
54202,MAFIP
54204,SNX18P1Y
54223,ARSEP1
54225,GYG2P1
54227,SHROOM2P1
54229,TTTY15
54230,USP9Y
54231,CDY4P
54232,DDX3Y
54233,CASKP1
54235,TAB3P1
54236,DPPA2P1
54237,UTY
54238,PSMA6P1
54239,TMSB4Y
54240,ANOS2P
54245,NLGN4Y
54260,FAM224B
54333,TTTY14
54334,ZNF839P1
54339,BCORP1
54340,TXLNGY
54341,RP11-576C2.1
54342,RP11-424G14.1
54343,KDM5D
54348,TTTY10
54349,KDM5DP1
54350,EIF1AY
54351,TBL1YP1
54352,RPS4Y2
54356,TMEM167AP1
54357,RP11-65G9.1
54358,TOMM22P1
54359,NEFLP1
54360,AC010086.1
54361,PRORY
54362,RBMY2EP
54570,MT-CO1
54573,MT-CO2
54575,MT-ATP8
54576,MT-ATP6
54581,MT-ND4L
54582,MT-ND4
